datetime,open,high,low,close,volume
2022-07-22 00:00:00,7.224,7.461,6.82,6.89,960184.122492
2022-07-23 00:00:00,6.888,7.218,6.643,6.965,733783.377351
2022-07-24 00:00:00,6.968,7.347,6.876,7.25,762851.533154
2022-07-25 00:00:00,7.25,7.521,6.813,7.047,2821408.469468
2022-07-26 00:00:00,7.045,7.058,6.218,6.655,1458831.564491
2022-07-27 00:00:00,6.657,8.198,6.506,8.035,2538414.386933
2022-07-28 00:00:00,8.038,9.84,7.963,9.275,3446715.441507
2022-07-29 00:00:00,9.281,9.405,8.61,9.085,2273328.862208
2022-07-30 00:00:00,9.084,9.174,8.498,8.78,1249120.619142
2022-07-31 00:00:00,8.776,9.146,8.327,8.327,1269281.863578
2022-08-01 00:00:00,8.332,8.577,8.055,8.365,1199737.447293
2022-08-02 00:00:00,8.359,8.68,7.815,8.248,1540146.88879
2022-08-03 00:00:00,8.261,9.393,8.037,8.907,1805606.138547
2022-08-04 00:00:00,8.911,9.128,8.535,8.819,1146900.979245
2022-08-05 00:00:00,8.82,9.269,8.787,8.972,1345923.577895
2022-08-06 00:00:00,8.966,9.146,8.726,8.78,696318.292883
2022-08-07 00:00:00,8.78,8.982,8.689,8.786,409850.832977
2022-08-08 00:00:00,8.783,9.283,8.73,8.784,1050603.821335
2022-08-09 00:00:00,8.789,8.865,8.076,8.439,1009669.322848
2022-08-10 00:00:00,8.439,9.439,8.193,9.224,1084117.881984
2022-08-11 00:00:00,9.224,9.611,8.866,8.964,1347738.66729
2022-08-12 00:00:00,8.964,9.255,8.52,9.21,1059124.943136
2022-08-13 00:00:00,9.21,9.349,8.913,8.984,750394.238228
2022-08-14 00:00:00,8.984,9.615,8.754,8.884,1229758.722963
2022-08-15 00:00:00,8.882,9.17,8.278,8.475,1445292.117915
2022-08-16 00:00:00,8.467,8.571,8.188,8.34,1458916.537844
2022-08-17 00:00:00,8.342,8.676,7.865,7.961,1502705.904218
2022-08-18 00:00:00,7.961,8.207,7.426,7.574,1545951.095833
2022-08-19 00:00:00,7.572,7.693,6.803,6.895,2384361.694756
2022-08-20 00:00:00,6.892,7.196,6.734,7.009,1080212.185959
2022-08-21 00:00:00,7.014,7.321,6.976,7.211,732377.849326
2022-08-22 00:00:00,7.209,7.343,6.621,6.983,1087082.489684
2022-08-23 00:00:00,6.985,7.209,6.75,7.109,968495.37511
2022-08-24 00:00:00,7.118,7.286,6.871,7.045,615772.708309
2022-08-25 00:00:00,7.048,7.249,6.925,7.023,914877.698724
2022-08-26 00:00:00,7.023,7.023,6.074,6.154,2085765.62122
2022-08-27 00:00:00,6.153,6.207,5.95,6.057,846571.181775
2022-08-28 00:00:00,6.055,6.109,5.704,5.739,874912.882679
2022-08-29 00:00:00,5.735,6.4,5.68,6.339,997257.151485
2022-08-30 00:00:00,6.34,6.457,5.94,6.174,1124325.735074
2022-08-31 00:00:00,6.175,6.421,6.1,6.145,1071932.420882
2022-09-01 00:00:00,6.146,6.365,5.957,6.315,726148.378611
2022-09-02 00:00:00,6.315,6.693,6.2,6.406,1009509.450849
2022-09-03 00:00:00,6.403,6.41,6.223,6.305,462078.462758
2022-09-04 00:00:00,6.305,6.52,6.229,6.488,800224.805466
2022-09-05 00:00:00,6.488,6.668,6.192,6.576,1139729.631845
2022-09-06 00:00:00,6.583,6.754,5.782,5.829,1561532.828583
2022-09-07 00:00:00,5.831,6.232,5.707,6.116,1101496.046339
2022-09-08 00:00:00,6.116,6.259,5.953,6.173,1121141.789468
2022-09-09 00:00:00,6.173,6.712,6.169,6.505,1518208.263982
2022-09-10 00:00:00,6.51,6.726,6.439,6.674,1395400.039134
2022-09-11 00:00:00,6.679,6.736,6.37,6.491,1058762.136298
2022-09-12 00:00:00,6.491,6.968,6.373,6.657,1524264.718657
2022-09-13 00:00:00,6.66,6.77,5.994,6.034,1276332.489922
2022-09-14 00:00:00,6.035,6.236,5.958,6.182,903371.752759
2022-09-15 00:00:00,6.182,6.238,5.775,5.884,1230001.765104
2022-09-16 00:00:00,5.887,5.933,5.659,5.824,612395.701098
2022-09-17 00:00:00,5.821,6.04,5.814,6.014,444370.373648
2022-09-18 00:00:00,6.012,6.048,5.344,5.466,500097.895367
2022-09-19 00:00:00,5.465,5.525,5.206,5.479,984340.582785
2022-09-20 00:00:00,5.479,5.554,5.271,5.294,695172.15641
2022-09-21 00:00:00,5.289,5.753,5.14,5.338,1145779.588644
2022-09-22 00:00:00,5.329,5.856,5.324,5.734,960186.930134
2022-09-23 00:00:00,5.735,5.988,5.7,5.913,1103783.51588
