datetime,open,high,low,close,volume
2020-11-01 00:00:00,2.267,2.4501,2.2177,2.3799,2104300.257708
2020-11-02 00:00:00,2.3812,2.4545,2.2258,2.2561,1512794.899665
2020-11-03 00:00:00,2.2518,2.2868,2.0563,2.1392,3299243.541598
2020-11-04 00:00:00,2.1374,2.1664,1.878,1.9336,3373260.61583
2020-11-05 00:00:00,1.9321,2.44,1.7606,2.1946,7723081.997493
2020-11-06 00:00:00,2.1949,2.6958,2.1771,2.5704,7501098.563206
2020-11-07 00:00:00,2.5743,3.0329,2.41,2.4797,10323675.512235
2020-11-08 00:00:00,2.4792,2.9209,2.4362,2.8665,3344188.738819
2020-11-09 00:00:00,2.8667,2.8807,2.5747,2.6805,3507096.679473
2020-11-10 00:00:00,2.6826,3.1772,2.6282,3.0784,3889073.002352
2020-11-11 00:00:00,3.0787,3.2206,2.886,2.9352,2941279.209144
2020-11-12 00:00:00,2.94,3.1399,2.842,2.9603,2563268.366491
2020-11-13 00:00:00,2.9622,3.9999,2.939,3.8624,6421410.074679
2020-11-14 00:00:00,3.8655,3.9735,3.5131,3.813,4891214.781021
2020-11-15 00:00:00,3.8157,4.2498,3.62,3.8497,6707344.581209
2020-11-16 00:00:00,3.8452,3.94,3.4489,3.5608,5405890.86146
2020-11-17 00:00:00,3.564,3.8666,3.4805,3.8132,5437014.32267
2020-11-18 00:00:00,3.8162,3.8533,3.2788,3.4624,4749261.201801
2020-11-19 00:00:00,3.4666,3.9163,3.231,3.7512,5123276.210027
2020-11-20 00:00:00,3.7482,4.0907,3.68,3.8619,5046910.938335
2020-11-21 00:00:00,3.8619,3.9407,3.5834,3.8341,3983775.081485
2020-11-22 00:00:00,3.8448,3.9552,3.4146,3.6819,4059552.855678
2020-11-23 00:00:00,3.6899,4.2333,3.633,4.1856,4722963.536916
2020-11-24 00:00:00,4.1914,4.4871,3.9342,4.0678,4768631.328794
2020-11-25 00:00:00,4.0686,4.204,3.5264,3.6676,4090723.652756
2020-11-26 00:00:00,3.6753,3.7702,3.1,3.435,6260376.440139
2020-11-27 00:00:00,3.435,3.538,3.1609,3.311,2867549.418889
2020-11-28 00:00:00,3.3081,3.5346,3.2578,3.4638,1967553.307781
2020-11-29 00:00:00,3.4605,3.5764,3.3651,3.5606,1009581.967483
2020-11-30 00:00:00,3.5634,3.8085,3.5366,3.7743,1804980.772576
2020-12-01 00:00:00,3.7664,3.986,3.4111,3.5541,3025587.620465
2020-12-02 00:00:00,3.5529,4.174,3.4982,3.9532,3000931.420849
2020-12-03 00:00:00,3.947,4.0263,3.8023,3.885,1742377.871678
2020-12-04 00:00:00,3.8808,3.9209,3.5,3.5232,1370089.974066
2020-12-05 00:00:00,3.52,3.698,3.45,3.6828,1202675.167239
2020-12-06 00:00:00,3.6837,3.7949,3.51,3.6534,894005.953865
2020-12-07 00:00:00,3.6534,3.878,3.564,3.7544,1448968.066042
2020-12-08 00:00:00,3.7576,3.7622,3.276,3.2977,2054518.103103
2020-12-09 00:00:00,3.2915,3.3986,3.1171,3.3577,2374531.803655
2020-12-10 00:00:00,3.3617,3.3715,3.19,3.2399,720400.916497
2020-12-11 00:00:00,3.2441,3.2489,2.9111,2.9631,2723845.080639
2020-12-12 00:00:00,2.9628,3.1861,2.9581,3.1231,1771690.225217
2020-12-13 00:00:00,3.123,3.3639,3.0726,3.3361,902807.49398
2020-12-14 00:00:00,3.3312,3.55,3.2366,3.4871,1580742.334762
2020-12-15 00:00:00,3.4869,3.518,3.3084,3.3296,1215359.624259
2020-12-16 00:00:00,3.3288,3.5436,3.2432,3.5403,1926324.216659
2020-12-17 00:00:00,3.5352,4.0,3.4387,3.6968,3340797.305379
2020-12-18 00:00:00,3.6975,3.8557,3.5466,3.7655,2474050.851394
2020-12-19 00:00:00,3.7736,4.2493,3.708,3.9606,4944046.340599
2020-12-20 00:00:00,3.96,4.0253,3.7091,3.7539,2076654.029073
2020-12-21 00:00:00,3.75,3.9242,3.4049,3.5113,2265985.239258
2020-12-22 00:00:00,3.5128,3.7733,3.2838,3.7344,2420444.990056
2020-12-23 00:00:00,3.7328,3.7745,3.02,3.3137,3477820.593135
2020-12-24 00:00:00,3.3095,3.5254,3.1615,3.5215,2306395.904412
2020-12-25 00:00:00,3.526,3.6461,3.373,3.4976,1268671.7458
2020-12-26 00:00:00,3.5006,3.5979,3.3548,3.4166,1022067.551565
2020-12-27 00:00:00,3.4172,3.7948,3.3516,3.593,2640343.209384
2020-12-28 00:00:00,3.5947,3.941,3.5664,3.7294,2482921.430934
2020-12-29 00:00:00,3.7334,3.8338,3.494,3.6786,2376428.258912
2020-12-30 00:00:00,3.6745,4.3826,3.6295,4.1497,5829889.791223
2020-12-31 00:00:00,4.1524,5.3139,3.94,5.162,10863163.759686
2021-01-01 00:00:00,5.157,5.2813,4.6207,4.7478,5919805.944551
2021-01-02 00:00:00,4.743,5.1873,4.4937,4.856,6949170.123999
2021-01-03 00:00:00,4.8535,5.65,4.6801,5.5241,7510445.799668
2021-01-04 00:00:00,5.53,6.2375,4.881,5.4248,8693660.077816
2021-01-05 00:00:00,5.4252,6.5824,5.2001,6.2715,6619984.152942
2021-01-06 00:00:00,6.2725,6.616,6.0201,6.437,4224685.052554
2021-01-07 00:00:00,6.4419,6.8341,6.02,6.2745,3893183.09304
2021-01-08 00:00:00,6.2818,6.3735,5.4802,5.8751,4076162.948205
2021-01-09 00:00:00,5.8754,6.371,5.67,6.2453,2852421.687457
2021-01-10 00:00:00,6.2453,6.5929,5.5028,5.9887,3577927.801613
2021-01-11 00:00:00,5.9988,5.9988,4.3542,5.2521,6836660.538396
2021-01-12 00:00:00,5.2497,5.8141,4.9601,5.5909,2711750.254898
2021-01-13 00:00:00,5.5956,6.3799,5.2616,6.3398,2593161.314495
2021-01-14 00:00:00,6.3402,7.1265,6.1799,6.9473,4346555.021416
2021-01-15 00:00:00,6.9418,7.4667,6.3706,7.365,5392383.679588
2021-01-16 00:00:00,7.3748,9.3595,7.188,8.3963,7177662.382577
2021-01-17 00:00:00,8.3886,9.1737,8.07,8.6782,5293882.554955
2021-01-18 00:00:00,8.6852,9.8631,8.3012,9.194,3525316.682509
2021-01-19 00:00:00,9.1953,9.67,8.4455,8.5947,3118249.126187
2021-01-20 00:00:00,8.5899,9.049,7.6331,8.9794,3228075.476266
2021-01-21 00:00:00,8.9777,9.0412,7.3143,7.5714,3754334.91068
2021-01-22 00:00:00,7.5848,9.021,7.0142,8.7075,4064438.297655
2021-01-23 00:00:00,8.704,9.5384,8.5,9.3398,2340578.605445
2021-01-24 00:00:00,9.3527,12.3195,9.1786,12.0407,6266644.583829
2021-01-25 00:00:00,12.0423,12.9637,10.879,11.3122,6637435.163113
2021-01-26 00:00:00,11.3138,14.2887,11.1638,13.9344,8177528.878174
2021-01-27 00:00:00,13.9339,15.5537,12.9957,14.7553,8552608.486616
2021-01-28 00:00:00,14.7614,15.437,13.55,14.1284,6081997.887072
2021-01-29 00:00:00,14.1564,15.79,14.1112,15.6391,5556548.510699
2021-01-30 00:00:00,15.6379,19.6838,15.1001,19.5737,8142447.112215
2021-01-31 00:00:00,19.6037,20.545,17.4278,17.733,7718729.295192
2021-02-01 00:00:00,17.7496,20.75,16.6902,20.4901,6323056.61346
